id,nome,latitude,longitude,tipo
1590,"Movimento União Cidadã Recicla Rondonopólis ",-16.43229827,-54.62265015,cooperativa
1591,"COOPECOSERVP - Cooperativa de Coleta Seletiva e Reciclagem do Vale do  Piranga",-20.4116232,-42.8989342,cooperativa
1592,"PEV - BIG LIVRAMENTO-J.GOULART",-30.8839678,-55.5226632,pev
1593,"ASCAMARE Associação dos Catadores de Material Reciclavel  de Muriaé",-21.1303151,-42.3673893,cooperativa
1594,"Tenda Atacadão",-22.8074921,-47.2499052,pev
1595,type,-21.9930666,-47.8943466,pev
1596,type,-22.0662323,-46.9744402,comercio
1597,"Recerq - Cooperativa de Reciclagem de Cerquilho",-23.2059438,-47.7760411,cooperativa
1598,"Esplar Reciclagem",-18.6131913,-48.6843868,comercio
1599,"Cooperativa de Catadores de Nova Friburgo",-22.246846,-42.637039,cooperativa
1600,"ACAGERR - Associação de Catadores e Gerenciamento de Resíduos Recicláveis",-20.4605089,-41.411191,associacao
1601,"Associação dos Catadores de Materiais Reciclados de Conselheiro Lafaiete - ASMARCOL",-20.6596596,-43.7855006,cooperativa
1602,Multpapeis,-16.35745053,-48.93027306,comercio
1603,"Cooperativa de Mat. Rec. de Iguaraçu",-23.19325335,-51.81929142,cooperativa
1604,"Depósito do Dior ",-11.34183441,-49.26900387,comercio
1605,"Empresa Silvestre",-28.4556731,-52.1819513,comercio
1606,"Reciclagem do Helio",-19.7390981,-45.2625908,comercio
1607,"São Gabriel Bobinas e Materiais Recicláveis",-22.16117,-51.373433,comercio
1608,type,-22.5025227,-43.2208355,comercio
1609,type,-23.234356,-45.880207,comercio
1610,"Ressul Recicladora LTDA",-5.4899669,-47.4709704,comercio
1611,ACOMREG,-25.8885565,-48.5920466,cooperativa
1612,"ASCAMARI Associação de Catadores de Material Reciclável de Itapecerica",-20.4733795,-45.1266229,cooperativa
1613,"Cooperativa de Catadores de Nerópolis ",-16.40134164,-49.20433044,cooperativa
1614,"PEV - BIG URUGUAIANA-D.CAXIAS",-29.7720328,-57.086338,pev
1615,"ASSAMA - Associação dos Agentes do Meio Ambiente",-25.267797,-54.049618,cooperativa
1616,"Coop Nova Veneza",-16.36650954,-49.32063103,cooperativa
1617,"Cooperativa Nossa Sra. Aparecida - Projeto Reciclar",-22.91597,-47.039314,cooperativa
1618,Coopercol,-22.84335281,-51.97210427,cooperativa
1619,"Cooperlol - Coop. de Trab. dos Recicladores de Orlandia",-20.7201048,-47.8724411,cooperativa
1620,"DEUSANARA - Associação dos Catadores de Materiais Recicláveis",-21.610087,-45.5688023,cooperativa
1621,"Carrefour Vinhedo",-23.02957489,-46.98821694,pev
1622,type,-20.1428359,-44.8850552,comercio
1623,"Cooperativa de Materiais Reciclaveis de Pilar do Sul",-23.8111585,-47.712906,cooperativa
1624,type,-23.2954605,-50.0761094,cooperativa
1625,"Fibraelhe Reciclagem ",-11.68047975,-49.04811859,comercio
1626,"Sucata do Frachesco",-13.36913049,-39.0753758,comercio
1627,"COOPERCICLA Associação de Catadores Paracatu ",-17.2290187,-46.8787465,cooperativa
1628,type,-23.501707,-46.722226,comercio
1629,"ATREMAR - Associação Trespontana de Materiais Reciclaveis",-21.3800021,-45.4959324,cooperativa
1630,"APRES - Associação dos Profissionais de Reciclagem de R.S.",-23.905783,-49.810547,cooperativa
1631,"Cooperregião Sul C",-23.3573211,-51.1505327,cooperativa
1632,"Cooperativa de Catadores de Paranaíba - Corepa ",-19.67511,-51.1913338,cooperativa
1633,"Cooperar Cooperativa de Trabalho dos Recicladores de Ituverava",-20.3438344,-47.7858322,cooperativa
1634,type,-22.48753869,-48.56375456,comercio
1635,"Reciclagem Lemos ",-17.29336374,-48.26954842,comercio
1636,"Acap - Associação dos Catadores",-22.2897582,-48.5551038,cooperativa
1637,type,-25.388536,-49.160852,cooperativa
1638,"Associação Serrana de Catadores de Teresópolis",-22.42981292,-42.95486927,cooperativa
1639,type,-22.9228625,-47.0558513,comercio
1640,"USINA DE PINHEIROS",-18.4169692,-40.2180061,cooperativa
1641,"Reciclagem Simões e Souza",-19.7789438,-42.1474769,comercio
1642,"RECICLAR  Coleta Seletiva",-26.9442766,-48.9559677,comercio
1643,type,-21.7663903,-41.3467983,pev
1644,type,-23.0714506,-45.7153583,comercio
1645,"ACOC Associação dos Catadores de Osvaldo Cruz",-21.80891457,-50.84936142,cooperativa
1646,"MKM - SUMIDOURO COM DE SUCATA E RECICLAGEM",-22.048341,-42.67583,comercio
1647,"ASCANUK - Associação dos Catadores de Materiais Reciclados de Nanuque",-17.819019,-40.3419238,cooperativa
1648,"ASCAR - Associação dos Coletores Ambientais de Arapongas",-23.40045778,-51.44801355,cooperativa
1649,type,-22.8856069,-43.5792239,pev
1650,type,-22.754549,-43.423587,pev
1651,type,-25.091015,-50.109085,cooperativa
1652,type,-29.1370645,-51.1773665,comercio
1653,"Rainha da Sucata",-14.7842969,-39.056057,comercio
1654,"Associação dos Agentes Ecológicos de Santa Rita do Passa Quatro",-21.7312483,-47.4973434,cooperativa
1655,"Ascalt - Associação de Catadores de Mat. Rec. de Altinópolis",-21.023927,-47.3726953,cooperativa
1656,"Grupo de Catadores de Terezópolis de Goiás",-16.4735058,-49.0797039,cooperativa
1657,"ASCAP - Associaçao de CAtadores de Material Reciclável de Paraopeba",-19.2817492,-44.4081745,associacao
1658,type,-23.1963115,-46.8114182,comercio
1659,"ASCAMAR - Associação de Catadores de Material Reciclável",-2.5412041,-44.2991726,cooperativa
1660,"Usina de São Domingos do Norte",-19.1444709,-40.6244609,cooperativa
1661,"RB Ambiental",-15.7801482,-47.9291698,comercio
1662,type,-22.7368248,-47.6292271,pev
1663,"Associação Catadores Maravilha",-26.75695371,-53.16623211,cooperativa
1664,"Caap - Cooperativa dos Agentes Ambientais de Prata",-19.33356305,-48.94743919,cooperativa
1665,"Grupo de Catadores de Primavera do Leste ",-15.41052503,-54.23469543,cooperativa
1666,"Prado Comércio de Sucatas Ltda",-22.457044,-46.9585056,comercio
1667,Recicle,-25.57706145,-54.56799687,comercio
1668,"Grupamento de Catadores de Inhumas Goiás",-16.33578956,-49.52078819,cooperativa
1669,type,-23.010919,-43.518624,cooperativa
1670,type,-29.15705,-51.167833,comercio
1671,"Paulinho da Reciclagem",-15.6464555,-56.066189,comercio
1672,"Comércio de Sucatas Cunha",-20.0889758,-51.1029764,comercio
1673,type,-24.70024832,-53.73640537,comercio
1674,"CTMAR - Cooperativa de Trabalhadores de Materiais Recicláveis",-28.734478,-49.406746,cooperativa
1675,type,-23.590903,-46.531275,comercio
1676,"Associação de Catadores de Angatuba",-23.4267414,-48.515201,cooperativa
1677,"ASCAMP - Assoc. dos Catad.de Mat. Recicláveis de Pará de Minas",-19.8547736,-44.6098775,cooperativa
1678,type,-22.3007897,-45.9011175,comercio
1679,"AAGAP - Associação dos Agentes Ambientais de Pitanga",-24.79723,-51.74486,cooperativa
1680,"Cooperp - Cooperativa de Reciclagem de Pirassunga",-21.9959555,-47.4268237,cooperativa
1681,"ACARI - ASSOCIACAO DE CATADORES AUTONOMOS DE RECICLAGEM ITAJUBENSE",-22.4443064,-45.4309056,associacao
1682,"Arca - Associação dos Recicladores e Catadores Autônomos",-18.9413924,-48.2320419,cooperativa
1683,"PROJETO PRESERVA LABORIAUX",-22.9816958,-43.2402433,pev
1684,"Carrefour Juiz de Fora",-21.78576345,-43.34101081,pev
1685,type,-23.55345,-46.678985,cooperativa
1686,type,-22.8479547,-45.2274107,comercio
1687,"Reciclagem Rio Formoso ",-11.79924253,-49.53233242,comercio
1688,"COOPERCICLA-Cooperativa Lageana de Reciclagem",-27.8179894,-50.2931566,cooperativa
1689,"Chiquinho da Reciclagem",-20.266667,-46.383333,comercio
1690,type,-3.7892028,-38.5438418,pev
1691,type,-29.854545,-51.145278,comercio
1692,"Reciclagem Nossa Senhora Aparecida",-20.8314105,-41.1779659,comercio
1693,"Papel Vale Comércio de Aparas Ltda",-26.93745,-48.92785,comercio
1694,type,-16.77483595,-49.34050083,comercio
1695,type,-16.81242879,-49.19849396,comercio
1696,type,-23.778237,-46.6812685,cooperativa
1697,type,-9.6446771,-35.7343792,pev
1698,"Recicla Itirapina",-22.2537003,-47.8229323,cooperativa
1699,type,-25.552048,-49.293681,comercio
1700,"Associação Recicla Itaí",-23.40125252,-49.09476757,cooperativa
1701,"Ambiental Andrade Reciclagem em Geral",-21.826272,-47.2496401,comercio
1702,type,-22.933049,-47.026011,comercio
